Model,Combination,VidID,Set,CCC
MFT,AV,173_4,Valid,0.01861231719703052
MFT,AV,173_6,Valid,-0.030714786241362944
MFT,AV,181_1,Valid,0.025745871828167437
MFT,AV,181_2,Valid,0.7214824534551537
MFT,AV,181_3,Valid,0.8356230864438359
MFT,AV,181_4,Valid,-0.06878436850338977
MFT,AV,181_6,Valid,-0.05647101167967309
MFT,AV,112_1,Test,-0.06426236548197314
MFT,AV,112_2,Test,0.23531660873983226
MFT,AV,112_3,Test,0.4380192102882848
MFT,AV,116_1,Test,0.18671539856846306
MFT,AV,116_2,Test,0.4264741991508717
MFT,AV,116_3,Test,-0.19752222114981158
MFT,AV,116_4,Test,0.8696917889458209
MFT,AV,116_5,Test,-0.023328594065833843
MFT,AV,116_6,Test,-0.009899674702404162
MFT,AV,123_1,Test,-0.13243162223783536
MFT,AV,123_2,Test,-0.01792482460497158
MFT,AV,123_3,Test,0.06914233100114052
MFT,AV,123_4,Test,0.018098130293574443
MFT,AV,123_5,Test,0.009327930881231674
MFT,AV,127_2,Test,-0.0030098462520602625
MFT,AV,127_3,Test,0.14296792329014021
MFT,AV,127_4,Test,0.2857002508658983
MFT,AV,127_5,Test,0.02904475442440056
MFT,AV,127_6,Test,0.037719923618771106
MFT,AV,134_1,Test,-0.1472841741701681
MFT,AV,134_3,Test,-0.04896310116781362
MFT,AV,145_1,Test,0.035533952382315
MFT,AV,145_2,Test,0.05824842331180136
MFT,AV,145_3,Test,0.02804241828044101
MFT,AV,145_4,Test,-0.036888170627433936
MFT,AV,154_1,Test,0.0255676804686367
MFT,AV,154_4,Test,0.04723895844610417
MFT,AV,154_6,Test,0.10997102042913975
MFT,AV,161_1,Test,0.25813938259712454
MFT,AV,161_3,Test,0.2917801029128833
MFT,AV,161_4,Test,-0.04501192379279605
MFT,AV,165_1,Test,-0.03330489792520701
MFT,AV,165_2,Test,-0.03687553961829791
MFT,AV,165_3,Test,0.012464551182809957
MFT,AV,165_4,Test,0.1157703951075669
MFT,AV,165_5,Test,-0.0568845950167671
MFT,AV,165_6,Test,0.046094081426435694
MFT,AV,165_7,Test,0.036012273389539946
MFT,AV,168_1,Test,0.05944761556923278
MFT,ALV,111_1,Train,0.5006630274274796
MFT,ALV,111_3,Train,0.7741757636988764
MFT,ALV,111_4,Train,0.702878982132123
MFT,ALV,113_2,Train,0.9262690404579143
MFT,ALV,113_3,Train,0.9401767123138274
MFT,ALV,113_4,Train,0.9507032318902958
MFT,ALV,113_5,Train,0.6556066317642003
MFT,ALV,113_6,Train,0.8937601470655337
MFT,ALV,114_1,Train,0.9537223096099092
MFT,ALV,114_4,Train,0.6282550791450211
MFT,ALV,114_5,Train,0.969938169783475
MFT,ALV,114_6,Train,0.8983334731331752
MFT,ALV,118_1,Train,0.6825614316748752
MFT,ALV,118_3,Train,0.8724619225200648
MFT,ALV,118_4,Train,0.8795448449745573
MFT,ALV,118_5,Train,0.8651144059588903
MFT,ALV,118_6,Train,0.9168308802829768
MFT,ALV,119_2,Train,0.863012570483812
MFT,ALV,119_4,Train,0.0595896888871764
MFT,ALV,119_6,Train,0.9501451244085867
MFT,ALV,120_1,Train,0.9155720413114101
MFT,ALV,120_2,Train,0.913073749470998
MFT,ALV,120_3,Train,0.9472093923001387
MFT,ALV,120_4,Train,0.7488104523854437
MFT,ALV,121_1,Train,0.8649086990478771
MFT,ALV,121_3,Train,0.9041926449692549
MFT,ALV,121_5,Train,0.49631479618505675
MFT,ALV,121_6,Train,0.9377049100751218
MFT,ALV,129_1,Train,0.23384277628277422
MFT,ALV,129_2,Train,0.8522814038657998
MFT,ALV,129_3,Train,0.9475725768735893
MFT,ALV,129_4,Train,0.8620645403983648
MFT,ALV,129_5,Train,0.9108128615035148
MFT,ALV,129_6,Train,0.9555352372856205
MFT,ALV,129_7,Train,0.9101386304727368
MFT,ALV,130_1,Train,0.7651581656338609
MFT,ALV,130_2,Train,0.885439297857067
MFT,ALV,130_4,Train,0.8407112650499029
MFT,ALV,130_6,Train,0.10190480063764044
MFT,ALV,135_3,Train,0.9583577160075812
MFT,ALV,141_1,Train,0.6517791302765547
MFT,ALV,141_6,Train,0.848684717806377
MFT,ALV,142_1,Train,0.8188652438378198
MFT,ALV,142_2,Train,0.9556820366213097
MFT,ALV,142_3,Train,0.8573820719108989
MFT,ALV,143_3,Train,0.7509897326086994
MFT,ALV,143_5,Train,0.9176648505478374
MFT,ALV,144_1,Train,0.7991635649890213
MFT,ALV,144_3,Train,0.9269190234890381
MFT,ALV,147_1,Train,0.3304920808209618
MFT,ALV,147_2,Train,0.7771261257373697
MFT,ALV,147_3,Train,0.5475233299552471
MFT,ALV,147_4,Train,0.9437241968103653
MFT,ALV,147_5,Train,0.7928975675435433
MFT,ALV,151_2,Train,0.8920484515536248
MFT,ALV,151_6,Train,0.854416741332653
MFT,ALV,153_1,Train,0.8597092110279166
MFT,ALV,153_2,Train,0.8268401365467334
MFT,ALV,153_3,Train,0.8572872273740872
MFT,ALV,153_4,Train,0.7946674133887124
MFT,ALV,153_5,Train,0.9005159759064408
MFT,ALV,153_6,Train,0.8927811868793389
MFT,ALV,156_1,Train,0.7867647092522343
MFT,ALV,156_2,Train,0.8198327604421284
MFT,ALV,156_3,Train,0.8459917910685106
MFT,ALV,156_6,Train,0.4538448451471026
MFT,ALV,162_2,Train,0.8796161160812402
MFT,ALV,162_3,Train,0.9557574768650555
MFT,ALV,162_4,Train,0.617130406493162
MFT,ALV,162_5,Train,0.4522287151304793
MFT,ALV,162_6,Train,0.9605594368866363
MFT,ALV,163_1,Train,0.3574378416618135
MFT,ALV,163_2,Train,0.8867211764216152
MFT,ALV,163_5,Train,0.9506957372008313
MFT,ALV,164_3,Train,0.34870976913274987
MFT,ALV,164_4,Train,0.5887625125202894
MFT,ALV,164_5,Train,0.3097037627612214
MFT,ALV,167_1,Train,0.9039100366899403
MFT,ALV,167_2,Train,0.9284658816011515
MFT,ALV,169_2,Train,0.8757629608207746
MFT,ALV,169_4,Train,0.8946790169123015
MFT,ALV,171_1,Train,0.9148799399893494
MFT,ALV,171_2,Train,0.5807985567492896
MFT,ALV,171_3,Train,0.458240093746117
MFT,ALV,171_4,Train,0.9747703818144046
MFT,ALV,171_5,Train,0.840640433542228
MFT,ALV,171_6,Train,0.9149828402933494
MFT,ALV,172_1,Train,0.9359224626281014
MFT,ALV,172_2,Train,0.9458021016127017
MFT,ALV,172_3,Train,0.9423323557747507
MFT,ALV,172_4,Train,0.7728190753555065
MFT,ALV,172_5,Train,0.5697691569459948
MFT,ALV,174_1,Train,0.8306092928188009
MFT,ALV,174_2,Train,0.8778398081676185
MFT,ALV,174_3,Train,0.8837300984493701
MFT,ALV,174_5,Train,0.960467082879575
MFT,ALV,174_6,Train,0.8797283994253484
MFT,ALV,174_7,Train,0.6922319423802067
MFT,ALV,178_1,Train,0.9574136231963409
MFT,ALV,178_2,Train,0.687618400667602
MFT,ALV,178_4,Train,0.9164694445211661
MFT,ALV,178_5,Train,0.8598878138150433
MFT,ALV,178_6,Train,0.7324379496802506
MFT,ALV,179_1,Train,0.9579438397330496
MFT,ALV,179_3,Train,0.8483578959362869
MFT,ALV,179_4,Train,0.8809344819322238
MFT,ALV,179_5,Train,0.9035167573510965
MFT,ALV,179_6,Train,0.9351253829671216
MFT,ALV,180_1,Train,0.8948710696404044
MFT,ALV,180_2,Train,0.8697416638694022
MFT,ALV,180_3,Train,0.9378245545583228
MFT,ALV,180_4,Train,0.8352558093460376
MFT,ALV,180_5,Train,0.6366071417426572
MFT,ALV,180_6,Train,0.9204478648319436
MFT,ALV,115_2,Valid,-0.14907936169420533
MFT,ALV,115_3,Valid,0.018782319814072062
MFT,ALV,115_5,Valid,-0.422021194578318
MFT,ALV,115_6,Valid,0.017215475700425125
MFT,ALV,117_1,Valid,0.781990511492065
MFT,ALV,117_2,Valid,0.8547061926784857
MFT,ALV,117_3,Valid,0.21097869699829377
MFT,ALV,117_4,Valid,0.6749883410841103
MFT,ALV,117_5,Valid,0.7451768305916681
MFT,ALV,117_6,Valid,0.19170636088244622
MFT,ALV,124_1,Valid,0.46861136129609937
MFT,ALV,124_2,Valid,0.5795176177163853
MFT,ALV,124_3,Valid,0.42664573903066916
MFT,ALV,124_6,Valid,0.222308687661847
MFT,ALV,128_2,Valid,0.6248364547530308
MFT,ALV,128_5,Valid,0.6196578400600143
MFT,ALV,128_6,Valid,0.5445665856427869
MFT,ALV,131_1,Valid,0.5499612493237949
MFT,ALV,131_2,Valid,-0.052201595915139114
MFT,ALV,131_3,Valid,0.8444963795098552
MFT,ALV,131_5,Valid,0.9754447590550205
MFT,ALV,131_6,Valid,0.398640158261504
MFT,ALV,137_1,Valid,-0.03325607088933852
MFT,ALV,137_2,Valid,0.8257806674225351
MFT,ALV,137_4,Valid,0.7746527281717486
